Borderlands Legends,iPad,65,Action RPG,10
Okami HD,PS3,94,Adventure,10
Ragnarok Odyssey,PSV,50,RPG,10
Need for Speed Most Wanted,iPhone,69,Racing Action,10
Pid,X360,78,Platform,10
Pid,PC,78,Platform,10
Pid,PS3,78,Platform,10
Need for Speed Most Wanted,PS3,90,Racing Action,10
Assassin's Creed III,X360,85,Action Adventure,10
Need for Speed Most Wanted,X360,90,Racing Action,10
Assassin's Creed III: Liberation,PSV,72,Action,10
Smart As...,PSV,85,Educational Puzzle,10
Assassin's Creed III,PS3,85,Action Adventure,10
Need for Speed Most Wanted,PC,90,Racing Action,10
WWE '13,PS3,84,Wrestling,10
Street Fighter x Tekken,PSV,66,Fighting,10
WWE '13,X360,84,Wrestling,10
Chivalry: Medieval Warfare,PC,79,Adventure,10
Sonic Jump,iPhone,75,Platform,10
F1 Race Stars,X360,52,Racing,11
Call of Duty: Black Ops II,PC,93,Shooter,11
F1 Race Stars,PS3,52,Racing,11
Midway Arcade Origins,PS3,55,Action Compilation,11
Midway Arcade Origins,X360,55,Action Compilation,11
Call of Duty: Black Ops II,X360,93,Shooter,11
Call of Duty: Black Ops II,PS3,93,Shooter,11
When Vikings Attack,PS3,65,Fighting Action,11
When Vikings Attack,PSV,65,Fighting Action,11
Freakyforms Deluxe: Your Creations Alive!,3DS,50,Productivity,11
Painkiller: Hell & Damnation,PC,50,Shooter,11
Transformers Prime,3DS,80,Action,11
Angry Birds Star Wars,iPhone,88,Puzzle,11
Farming Simulator 2013,PC,71,Simulation,11
Paper Mario: Sticker Star,3DS,83,RPG,11
Lucius,PC,60,Adventure,11
LittleBigPlanet Karting,PS3,50,Racing,11
Primal Carnage,PC,76,Shooter,11
Natural Selection 2,PC,80,Shooter,11
Symphonica: Grand Maestro,iPhone,60,Music,11
Football Manager 2013,Macintosh,90,Sports Simulation,11
The Walking Dead: The Game -- Episode 5: No Time Left,PC,95,Adventure,11
The Walking Dead: The Game -- Episode 5: No Time Left,iPad,95,Adventure,11
The Walking Dead: The Game -- Episode 5: No Time Left,Macintosh,95,Adventure,11
The Walking Dead: The Game -- Episode 5: No Time Left,PS3,95,Adventure,11
Football Manager 2013,PC,90,Sports Simulation,11
Need for Speed Most Wanted,PSV,74,Racing Action,11
Orgarhythm,PSV,47,Music Action,11
Sports Champions 2,PS3,76,Sports Action,11
Kinect Party,X360,85,Party,12
Sky Gamblers: Storm Raiders,iPhone,71,Action,12
Oddworld: Stranger's Wrath HD,PSV,75,Action Adventure,12
AirBuccaneers,PC,75,Action,12
Theatrhythm Final Fantasy,iPhone,80,Music Action,12
Sing Party,WiiU,63,Music,12
Beatdown!,iPhone,63,Fighting Action,11
Waking Mars,PC,65,Action,11
Waking Mars,iPhone,65,Action,11
Hitman: Absolution,PS3,90,Action,11
Hitman: Absolution,X360,90,Action,11
ZombiU,WiiU,63,Shooter,11
Grand Theft Auto: Vice City,iPhone,77,Action Adventure,12
Street Fighter X Mega Man,PC,70,Action,12
Sonic & All-Stars Racing Transformed,PSV,70,Racing Action,12
Sonic & All-Stars Racing Transformed,3DS,70,Racing Action,12
The Sims 3: Seasons,PC,75,Simulation,12
Tank! Tank! Tank!,WiiU,58,Action,12
