Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,4.36,56,83
Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,4.36,50,48
Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,4.34,86,81
Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,4.33,87,90
Super Mario 3D World,WiiU,2013,Platform,Nintendo,4.32,93,90
Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,4.29,50,49
FIFA 15,PS3,2014,Sports,Electronic Arts,4.28,50,45
Fable II,X360,2008,Role-Playing,Microsoft Game Studios,4.27,89,65
Namco Museum,GBA,2001,Misc,Namco Bandai Games,4.24,79,73
Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,4.23,91,89
Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,4.23,91,93
Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,4.22,80,75
Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,4.22,88,62
FIFA 14,X360,2013,Sports,Electronic Arts,4.22,84,42
Daxter,PSP,2006,Platform,Sony Computer Entertainment,4.21,85,87
FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,4.21,80,78
EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,4.2,80,75
Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,4.19,80,71
Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,4.19,80,72
Street Fighter IV,PS3,2009,Fighting,Capcom,4.16,94,73
Madden NFL 2003,PS2,2002,Sports,Electronic Arts,4.14,95,77
Half-Life,PC,1997,Shooter,Vivendi Games,4.12,96,91
World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,4.09,91,79
Battlefield 1,PS4,2016,Shooter,Electronic Arts,4.08,88,84
God of War II,PS2,2007,Action,Sony Computer Entertainment,4.07,93,89
World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,4.06,50,82
Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,4.05,84,81
Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,4.05,90,83
Carnival Games,Wii,2007,Misc,Take-Two Interactive,4.05,56,60
Watch Dogs,PS4,2014,Action,Ubisoft,4.05,80,63
Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,4.05,85,85
Far Cry 4,PS4,2014,Shooter,Ubisoft,4.04,85,77
Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,3.98,61,0
Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,3.97,89,86
The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,3.97,92,92
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,3.96,70,49
Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,3.95,87,76
The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,3.95,93,80
Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,3.94,90,80
Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,3.94,84,88
EA Sports Active,Wii,2009,Sports,Electronic Arts,3.9,81,87
Tony Hawk's Underground,PS2,2003,Sports,Activision,3.9,90,87
Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,3.89,86,87
The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,3.88,94,81
NBA 2K16,PS4,2015,Sports,Take-Two Interactive,3.88,87,67
Tekken 5,PS2,2005,Fighting,Namco Bandai Games,3.87,88,86
MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,3.87,84,74
World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,3.85,91,91
Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,3.84,76,79
Call of Duty: Ghosts,PS4,2013,Shooter,Activision,3.83,78,37
Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,3.83,59,40
Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,3.8,80,70
Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,3.79,68,69
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,3.76,77,75
The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,3.76,79,80
Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,3.73,64,75
Super Paper Mario,Wii,2007,Platform,Nintendo,3.71,85,79
Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,3.71,91,88
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,3.71,88,81
FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,3.7,81,76
Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,3.67,94,85
MySims,DS,2007,Simulation,Electronic Arts,3.66,67,73
Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,3.65,74,84
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,3.65,82,79
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,3.64,90,87
Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,3.63,82,79
Resident Evil 4,PS2,2005,Action,Capcom,3.62,96,89
Guitar Hero: World Tour,Wii,2008,Misc,Activision,3.62,86,76
FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,3.62,91,76
Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,3.61,82,87
The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,3.61,64,77
Luigi's Mansion,GC,2001,Action,Nintendo,3.6,78,85
Battlefield 4,PS4,2013,Shooter,Electronic Arts,3.59,85,69
Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,3.59,84,90
Just Dance 2014,Wii,2013,Misc,Ubisoft,3.59,50,62
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,505 Games,3.58,70,80
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,3.54,78,78
The Getaway,PS2,2002,Action,Sony Computer Entertainment,3.54,72,68
James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,3.53,72,79
FIFA Soccer 11,X360,2010,Sports,Electronic Arts,3.52,88,75
Left 4 Dead,X360,2008,Shooter,Electronic Arts,3.51,89,79
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,3.5,72,41
Resident Evil 5,X360,2009,Action,Capcom,3.5,83,75
Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,3.49,89,83
FIFA Soccer 2004,PS2,0000,Sports,Electronic Arts,3.49,84,64
Battlefield 4,PS3,2013,Shooter,Electronic Arts,3.49,80,58
Batman: Arkham Asylum,X360,2009,Action,Eidos Interactive,3.48,92,87
Battlefield 4,X360,2013,Shooter,Electronic Arts,3.48,79,56
Battlefield: Bad Company 2,X360,2010,Shooter,Electronic Arts,3.47,88,86
Guitar Hero: On Tour,DS,2008,Misc,Activision,3.46,71,88
Clubhouse Games,DS,2006,Misc,Nintendo,3.45,83,84
Borderlands,X360,2009,Shooter,Take-Two Interactive,3.44,84,82
Tekken 4,PS2,2002,Fighting,Namco Bandai Games,3.44,79,83
Grand Theft Auto 2,PS,1998,Action,Take-Two Interactive,3.42,70,80
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,Konami Digital Entertainment,3.41,93,82
Spider-Man 2,PS2,2004,Action,Activision,3.41,80,89
FIFA Soccer 2003,PS2,2002,Sports,Electronic Arts,3.4,88,67
LittleBigPlanet 2,PS3,2011,Platform,Sony Computer Entertainment,3.39,91,84
Crash Bash,PS,2000,Misc,Sony Computer Entertainment,3.39,68,82
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,3.39,76,68
LEGO Batman: The Videogame,X360,2008,Action,Warner Bros. Interactive Entertainment,3.38,76,79
Destiny,XOne,2014,Shooter,Activision,3.37,75,55
Far Cry 3,PS3,2012,Shooter,Ubisoft,3.35,90,85
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,3.33,77,85
Star Wars Episode III: Revenge of the Sith,PS2,2005,Action,LucasArts,3.32,60,72
The Legend of Zelda: Spirit Tracks,DS,2009,Action,Nintendo,3.31,87,78
Max Payne,PS2,2001,Shooter,Take-Two Interactive,3.31,80,85
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,3.3,86,79
The Lord of the Rings: The Return of the King,PS2,2003,Action,Electronic Arts,3.28,85,87
Gears of War: Ultimate Edition,XOne,2015,Shooter,Microsoft Game Studios,3.28,82,75
True Crime: Streets of LA,PS2,2003,Action,Activision,3.27,77,80
Professor Layton and the Unwound Future,DS,2008,Puzzle,Nintendo,3.26,86,92
FIFA 16,XOne,2015,Sports,Electronic Arts,3.25,84,44
Wii Music,Wii,2008,Misc,Nintendo,3.25,63,46
Madden NFL 16,PS4,2015,Sports,Electronic Arts,3.24,83,59
Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,3.23,81,77
Halo: The Master Chief Collection,XOne,2014,Shooter,Microsoft Game Studios,3.23,85,72
Super Mario Maker,WiiU,2015,Platform,Nintendo,3.21,88,87
God of War: Chains of Olympus,PSP,2008,Action,Sony Computer Entertainment,3.18,91,86
Enter the Matrix,PS2,2003,Action,Atari,3.18,62,81
Crisis Core: Final Fantasy VII,PSP,2007,Role-Playing,Square Enix,3.18,83,80
Dance Central,X360,2010,Misc,MTV Games,3.17,82,76
L.A. Noire,PS3,2011,Adventure,Take-Two Interactive,3.17,89,77
Ace Combat 04: Shattered Skies,PS2,2001,Simulation,Sony Computer Entertainment Europe,3.17,89,91
Animal Crossing,GC,2001,Simulation,Nintendo,3.15,87,89
FIFA Soccer 08,PS2,2007,Sports,Electronic Arts,3.14,83,65
Club Penguin: Elite Penguin Force,DS,2008,Adventure,Disney Interactive Studios,3.14,50,80
Spider-Man,PS,2000,Action,Activision,3.13,87,90
Mario Party 9,Wii,2012,Misc,Nintendo,3.13,73,68
Sonic Rush,DS,2005,Platform,Sega,3.12,82,85
Rhythm Heaven,DS,2008,Misc,Nintendo,3.11,83,90
Fallout: New Vegas,PS3,2010,Role-Playing,Bethesda Softworks,3.11,82,78
Personal Trainer: Cooking,DS,2006,Misc,Nintendo,3.11,81,78
The Elder Scrolls IV: Oblivion,PS3,2007,Role-Playing,Ubisoft,3.1,93,80
The Legend of Zelda: A Link Between Worlds,3DS,2013,Action,Nintendo,3.1,91,89
Resident Evil 6,PS3,2012,Shooter,Capcom,3.1,74,54
Mass Effect 2,X360,2010,Role-Playing,Electronic Arts,3.1,96,89
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,3.09,67,79
Madden NFL 2002,PS2,2001,Sports,Electronic Arts,3.08,94,79
The Sims: Vacation,PC,2002,Simulation,Electronic Arts,3.07,75,78
LEGO Batman: The Videogame,Wii,0000,Action,Warner Bros. Interactive Entertainment,3.06,74,79
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,3.05,66,69
The Sims 4,PC,2014,Simulation,Electronic Arts,3.05,70,39
Borderlands 2,X360,2012,Shooter,Take-Two Interactive,3.05,89,82
LEGO Batman: The Videogame,DS,2008,Action,Warner Bros. Interactive Entertainment,3.05,72,80
Kung Fu Panda,X360,2008,Action,Activision,3.04,75,74
Mass Effect 3,X360,2012,Role-Playing,Electronic Arts,3.04,93,58
Heavy Rain,PS3,2010,Adventure,Sony Computer Entertainment,3.03,87,77
Saints Row 2,X360,2008,Action,THQ,3.03,81,81
Tom Clancy's Splinter Cell,XB,2002,Action,Ubisoft,3.02,93,85
FIFA 14,PS4,2013,Sports,Electronic Arts,3.01,87,63
Killzone 2,PS3,2009,Shooter,Sony Computer Entertainment,3.01,91,81
Far Cry 3,X360,2012,Shooter,Ubisoft,3,91,86
Epic Mickey,Wii,2010,Platform,Disney Interactive Studios,3,73,70
NBA 2K13,X360,2012,Sports,Take-Two Interactive,3,88,72
Dragon Ball Z: Budokai Tenkaichi 3,PS2,2007,Fighting,Atari,3,73,92
The Sims: Livin Large,PC,2000,Misc,Electronic Arts,2.99,82,66
